model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,0,False,False,,inf,,0,8080,0.03741812496446073
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,1,False,False,,inf,,0,8080,0.03663841600064188
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,2,False,False,,inf,,0,8080,0.03638120798859745
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,3,False,False,,inf,,0,8080,0.03632399998605251
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,4,False,False,,inf,,0,8080,0.036271374905481935
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,5,False,False,,inf,,0,8080,0.03661370894405991
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,6,False,False,,inf,,0,8080,0.036231915932148695
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,7,False,False,,inf,,0,8080,0.0366171250352636
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,8,False,False,,inf,,0,8080,0.036729375016875565
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,9,False,False,,inf,,0,8080,0.03633537492714822
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,10,False,False,,inf,,0,8080,0.03642045892775059
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,11,False,False,,inf,,0,8080,0.03639920800924301
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,12,False,False,,inf,,0,8080,0.036590624949894845
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,13,False,False,,inf,,0,8080,0.03652762505225837
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,14,False,False,,inf,,0,8080,0.037107166019268334
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,15,False,False,,inf,,0,8080,0.036928458022885025
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,16,False,False,,inf,,0,8080,0.03685779101215303
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,17,False,False,,inf,,0,8080,0.03660629200749099
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,18,False,False,,inf,,0,8080,0.03658483305480331
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,19,False,False,,inf,,0,8080,0.036692666937597096
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,20,False,False,,inf,,0,8080,0.03658791701309383
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,21,False,False,,inf,,0,8080,0.03651470807380974
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,22,False,False,,inf,,0,8080,0.0365389590151608
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,23,False,False,,inf,,0,8080,0.03621991700492799
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,24,False,False,,inf,,0,8080,0.0363876250339672
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,25,False,False,,inf,,0,8080,0.03618270892184228
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,26,False,False,,inf,,0,8080,0.03630549996159971
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,27,False,False,,inf,,0,8080,0.036232540966011584
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,28,False,False,,inf,,0,8080,0.03628237498924136
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,invalid_height,29,False,False,,inf,,0,8080,0.036271375021897256
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,0,False,False,,inf,,0,8080,0.0361734579782933
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,1,False,False,,inf,,0,8080,0.03622837504372001
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,2,False,False,,inf,,0,8080,0.03635729197412729
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,3,False,False,,inf,,0,8080,0.03637016599532217
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,4,False,False,,inf,,0,8080,0.03644895809702575
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,5,False,False,,inf,,0,8080,0.03627054102253169
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,6,False,False,,inf,,0,8080,0.03638666600454599
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,7,False,False,,inf,,0,8080,0.036344500025734305
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,8,False,False,,inf,,0,8080,0.03634779097046703
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,9,False,False,,inf,,0,8080,0.03643974999431521
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,10,False,False,,inf,,0,8080,0.036647040979005396
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,11,False,False,,inf,,0,8080,0.03659108397550881
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,12,False,False,,inf,,0,8080,0.03630445804446936
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,13,False,False,,inf,,0,8080,0.03620404202956706
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,14,False,False,,inf,,0,8080,0.03666629095096141
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,15,False,False,,inf,,0,8080,0.03668300004210323
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,16,False,False,,inf,,0,8080,0.03664041601587087
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,17,False,False,,inf,,0,8080,0.03655462502501905
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,18,False,False,,inf,,0,8080,0.03624249994754791
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,19,False,False,,inf,,0,8080,0.03639920800924301
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,20,False,False,,inf,,0,8080,0.03659608296584338
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,21,False,False,,inf,,0,8080,0.03619379200972617
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,22,False,False,,inf,,0,8080,0.03621808299794793
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,23,False,False,,inf,,0,8080,0.036143540986813605
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,24,False,False,,inf,,0,8080,0.03604270797222853
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,25,False,False,,inf,,0,8080,0.0361342920223251
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,26,False,False,,inf,,0,8080,0.03609887498896569
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,27,False,False,,inf,,0,8080,0.03644020890351385
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,28,False,False,,inf,,0,8080,0.036342374980449677
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,underweight,29,False,False,,inf,,0,8080,0.03692608291748911
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,0,False,False,,inf,,0,8080,0.03702220891136676
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,1,False,False,,inf,,0,8080,0.036519084009341896
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,2,False,False,,inf,,0,8080,0.03624383301939815
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,3,False,False,,inf,,0,8080,0.03620849992148578
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,4,False,False,,inf,,0,8080,0.03609449998475611
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,5,False,False,,inf,,0,8080,0.03616366605274379
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,6,False,False,,inf,,0,8080,0.03631208301521838
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,7,False,False,,inf,,0,8080,0.036381958052515984
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,8,False,False,,inf,,0,8080,0.036357957986183465
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,9,False,False,,inf,,0,8080,0.041107083088718355
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,10,False,False,,inf,,0,8080,0.037056082976050675
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,11,False,False,,inf,,0,8080,0.03737433301284909
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,12,False,False,,inf,,0,8080,0.03689283295534551
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,13,False,False,,inf,,0,8080,0.03666999994311482
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,14,False,False,,inf,,0,8080,0.03703387500718236
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,15,False,False,,inf,,0,8080,0.03693433303851634
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,16,False,False,,inf,,0,8080,0.03706579201389104
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,17,False,False,,inf,,0,8080,0.03653749998193234
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,18,False,False,,inf,,0,8080,0.03671720891725272
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,19,False,False,,inf,,0,8080,0.03684658301062882
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,20,False,False,,inf,,0,8080,0.036704166093841195
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,21,False,False,,inf,,0,8080,0.036761875031515956
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,22,False,False,,inf,,0,8080,0.036783707910217345
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,23,False,False,,inf,,0,8080,0.0366958329686895
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,24,False,False,,inf,,0,8080,0.03675087506417185
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,25,False,False,,inf,,0,8080,0.0366767089581117
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,26,False,False,,inf,,0,8080,0.037085208925418556
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,27,False,False,,inf,,0,8080,0.036879500024951994
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,28,False,False,,inf,,0,8080,0.036872708005830646
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,normal,29,False,False,,inf,,0,8080,0.03688720799982548
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,0,False,False,,inf,,0,8080,0.036610167007893324
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,1,False,False,,inf,,0,8080,0.036410334054380655
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,2,False,False,,inf,,0,8080,0.03653291705995798
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,3,False,False,,inf,,0,8080,0.0367969999788329
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,4,False,False,,inf,,0,8080,0.03731095907278359
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,5,False,False,,inf,,0,8080,0.036770832957699895
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,6,False,False,,inf,,0,8080,0.03678383305668831
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,7,False,False,,inf,,0,8080,0.03673512500245124
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,8,False,False,,inf,,0,8080,0.03636654105503112
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,9,False,False,,inf,,0,8080,0.0362655830103904
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,10,False,False,,inf,,0,8080,0.03625066706445068
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,11,False,False,,inf,,0,8080,0.03626620792783797
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,12,False,False,,inf,,0,8080,0.036298332968726754
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,13,False,False,,inf,,0,8080,0.036471541970968246
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,14,False,False,,inf,,0,8080,0.03651174996048212
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,15,False,False,,inf,,0,8080,0.03641820896882564
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,16,False,False,,inf,,0,8080,0.03629037493374199
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,17,False,False,,inf,,0,8080,0.036443375051021576
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,18,False,False,,inf,,0,8080,0.03619474999140948
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,19,False,False,,inf,,0,8080,0.03674779203720391
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,20,False,False,,inf,,0,8080,0.03666495799552649
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,21,False,False,,inf,,0,8080,0.03658725006971508
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,22,False,False,,inf,,0,8080,0.03657150000799447
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,23,False,False,,inf,,0,8080,0.03615341696422547
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,24,False,False,,inf,,0,8080,0.03628762508742511
no_semantic_meta_llama_llama_4_scout_17b_16e_instruct,GA_FIXED,bmi_category,overweight,25,False,False,,inf,,0,8080,0.036391958012245595
