model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,0,True,True,[0],0.0,zero,6,560,0.002164000063203275
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,1,True,True,[0],0.0,zero,5,480,0.0016923329094424844
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,2,True,True,[0],0.0,zero,6,560,0.002017707913182676
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,3,True,True,[0],0.0,zero,6,560,0.001960374996997416
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,4,True,True,[0],0.0,zero,7,640,0.0022617920767515898
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,5,True,True,[0],0.0,zero,5,480,0.0016169589944183826
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,6,True,True,[0],0.0,zero,6,560,0.0019093749579042196
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,7,True,True,[0],0.0,zero,8,720,0.0025134580209851265
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,8,True,True,[0],0.0,zero,15,1280,0.004575958009809256
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,9,True,True,[0],0.0,zero,7,640,0.002146999933756888
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,10,True,True,[0],0.0,zero,12,1040,0.0037478329613804817
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,11,True,True,[0],0.0,zero,10,880,0.0031579158967360854
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,12,True,True,[0],0.0,zero,13,1120,0.00398941698949784
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,13,True,True,[0],0.0,zero,6,560,0.0019187500001862645
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,14,True,True,[0],0.0,zero,7,640,0.002164082950912416
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,15,True,True,[0],0.0,zero,18,1520,0.00532145902980119
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,16,True,True,[0],0.0,zero,10,880,0.0030967920320108533
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,17,True,True,[0],0.0,zero,9,800,0.0028743749717250466
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,18,True,True,[0],0.0,zero,6,560,0.0017892500618472695
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,19,True,True,[0],0.0,zero,11,960,0.003207832924090326
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,20,True,True,[0],0.0,zero,4,400,0.0012785829603672028
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,21,True,True,[0],0.0,zero,4,400,0.001277750008739531
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,22,True,True,[0],0.0,zero,6,560,0.0018758340738713741
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,23,True,True,[0],0.0,zero,7,640,0.0021860419074073434
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,24,True,True,[0],0.0,zero,3,320,0.0009696249617263675
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,25,True,True,[0],0.0,zero,7,640,0.0022071250714361668
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,26,True,True,[0],0.0,zero,5,480,0.0015932500828057528
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,27,True,True,[0],0.0,zero,9,800,0.002814000006765127
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,28,True,True,[0],0.0,zero,4,400,0.001280499971471727
openai_gpt_oss_20b,GA_FIXED,number_kind,zero,29,True,True,[0],0.0,zero,5,480,0.0016188339795917273
openai_gpt_oss_20b,GA_FIXED,number_kind,even,0,True,True,[2016],0.0,even,0,80,5.987496115267277e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,1,True,True,[2818],0.0,even,0,80,5.791697185486555e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,2,True,True,[1902],0.0,even,0,80,5.870801396667957e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,3,True,True,[1404],0.0,even,0,80,5.76250022277236e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,4,True,True,[2376],0.0,even,0,80,5.4416945204138756e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,5,True,True,[72],0.0,even,0,80,5.2416929975152016e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,6,True,True,[942],0.0,even,0,80,5.8333040215075016e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,7,True,True,[942],0.0,even,0,80,5.749997217208147e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,8,True,True,[1174],0.0,even,0,80,5.549995694309473e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,9,True,True,[724],0.0,even,0,80,5.52500132471323e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,10,True,True,[1140],0.0,even,0,80,5.420902743935585e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,11,True,True,[2752],0.0,even,0,80,5.637493450194597e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,12,True,True,[-52],0.0,even,0,80,5.1958952099084854e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,13,True,True,[-372],0.0,even,0,80,5.554093513637781e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,14,True,True,[-422],0.0,even,0,80,5.512498319149017e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,15,True,True,[218],0.0,even,0,80,5.512498319149017e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,16,True,True,[978],0.0,even,0,80,5.7124998420476913e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,17,True,True,[2284],0.0,even,0,80,5.558307748287916e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,18,True,True,[2194],0.0,even,0,80,5.5750017054378986e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,19,True,True,[1412],0.0,even,0,80,5.520798731595278e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,20,True,True,[726],0.0,even,0,80,5.479203537106514e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,21,True,True,[2262],0.0,even,0,80,5.462497938424349e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,22,True,True,[898],0.0,even,0,80,5.5750017054378986e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,23,True,True,[2626],0.0,even,0,80,5.591695662587881e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,24,True,True,[1910],0.0,even,0,80,5.520798731595278e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,25,True,True,[1828],0.0,even,0,80,5.549995694309473e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,26,True,True,[2326],0.0,even,0,80,5.8542005717754364e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,27,True,True,[2594],0.0,even,0,80,5.558400880545378e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,28,True,True,[2506],0.0,even,0,80,5.512498319149017e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,even,29,True,True,[874],0.0,even,0,80,5.545897874981165e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,0,True,True,[315],0.0,odd,0,80,5.637493450194597e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,1,True,True,[1503],0.0,odd,0,80,5.529099144041538e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,2,True,True,[2229],0.0,odd,0,80,5.495792720466852e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,3,True,True,[1443],0.0,odd,0,80,5.5666896514594555e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,4,True,True,[1863],0.0,odd,0,80,5.779101047664881e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,5,True,True,[2587],0.0,odd,0,80,5.51670091226697e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,6,True,True,[2903],0.0,odd,0,80,5.5415905080735683e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,7,True,True,[167],0.0,odd,0,80,5.5333017371594906e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,8,True,True,[1241],0.0,odd,0,80,5.550007335841656e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,9,True,True,[1215],0.0,odd,0,80,5.766702815890312e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,10,True,True,[211],0.0,odd,0,80,5.579204298555851e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,11,True,True,[455],0.0,odd,0,80,5.566701292991638e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,12,True,True,[1137],0.0,odd,0,80,5.604198668152094e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,13,True,True,[1991],0.0,odd,0,80,5.5875047110021114e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,14,True,True,[-309],0.0,odd,0,80,5.508295726031065e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,15,True,True,[799],0.0,odd,0,80,5.5582961067557335e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,16,True,True,[1785],0.0,odd,0,80,5.5709038861095905e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,17,True,True,[901],0.0,odd,0,80,5.529192276299e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,18,True,True,[2013],0.0,odd,0,80,5.6124990805983543e-05
openai_gpt_oss_20b,GA_FIXED,number_kind,odd,19,True,True,[-347],0.0,odd,0,80,5.625002086162567e-05
