model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,0,True,True,"[641.7039923696487, 0.0]",0.0,invalid_height,37,3040,0.015722334035672247
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,1,True,True,"[2041.08551734808, 0.0]",0.0,invalid_height,25,2080,0.00972283398732543
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,2,True,True,"[1981.3947909308445, 0.0]",0.0,invalid_height,30,2480,0.011149332975037396
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,3,True,True,"[867.0154052306472, 0.0]",0.0,invalid_height,11,960,0.0040188339771702886
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,4,True,True,"[119.02466645692827, 0.0]",0.0,invalid_height,24,2000,0.008811207953840494
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,5,True,True,"[2090.258010897024, 0.0]",0.0,invalid_height,61,4960,0.0224321250570938
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,6,True,True,"[1080.4447095434994, 0.0]",0.0,invalid_height,22,1840,0.007841750048100948
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,7,True,True,"[2346.806377936343, 0.0]",0.0,invalid_height,18,1520,0.006720375036820769
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,8,True,True,"[128.68659435712738, 0.0]",0.0,invalid_height,35,2880,0.012804375030100346
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,9,True,True,"[1321.446114871946, 0.0]",0.0,invalid_height,2,240,0.0007944999961182475
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,10,True,True,"[2456.3510999277073, 0.0]",0.0,invalid_height,6,560,0.002251792000606656
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,11,True,True,"[2449.9706704442524, 0.0]",0.0,invalid_height,14,1200,0.005183375091291964
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,12,True,True,"[678.2029603972871, 0.0]",0.0,invalid_height,12,1040,0.00425129197537899
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,13,True,True,"[2022.9985950392092, 0.0]",0.0,invalid_height,40,3280,0.01451404090039432
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,14,True,True,"[1783.035418253532, 0.0]",0.0,invalid_height,3,320,0.0011405000695958734
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,15,True,True,"[485.3247069551394, 0.0]",0.0,invalid_height,10,880,0.003648374928161502
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,16,True,True,"[771.0993358175532, 0.0]",0.0,invalid_height,37,3040,0.013443166972137988
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,17,True,True,"[2391.264458339637, 0.0]",0.0,invalid_height,26,2160,0.009490084019489586
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,18,True,True,"[1089.1816707141425, 0.0]",0.0,invalid_height,36,2960,0.013177875080145895
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,19,True,True,"[1387.4422399739688, 0.0]",0.0,invalid_height,45,3680,0.016398957930505276
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,20,True,True,"[1065.5904265668082, 0.0]",0.0,invalid_height,32,2640,0.011793999932706356
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,21,True,True,"[1199.553467042607, 0.0]",0.0,invalid_height,18,1520,0.006583958049304783
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,22,True,True,"[1281.6070863921634, 0.0]",0.0,invalid_height,8,720,0.0029577499954029918
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,23,True,True,"[2693.5632664187824, 0.0]",0.0,invalid_height,24,2000,0.00874379207380116
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,24,True,True,"[1484.3269454394585, 0.0]",0.0,invalid_height,27,2240,0.009949833038263023
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,25,True,True,"[2595.982998546485, 0.0]",0.0,invalid_height,33,2720,0.012149541988037527
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,26,True,True,"[677.3351259827432, 0.0]",0.0,invalid_height,63,5120,0.023058832972310483
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,27,True,True,"[1258.1295966893672, 0.0]",0.0,invalid_height,24,2000,0.008813541033305228
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,28,True,True,"[2546.475258364634, 0.0]",0.0,invalid_height,33,2720,0.011870417045429349
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,invalid_height,29,True,True,"[1335.2960216468348, 0.0]",0.0,invalid_height,7,640,0.002607916947454214
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,0,True,True,"[1843.4112860264752, 769.0982632395242]",0.0,underweight,0,80,6.337498780339956e-05
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,1,True,True,"[2430.606958097996, 2321.56450119946]",0.0,underweight,0,80,6.158393807709217e-05
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,2,True,True,"[1975.4912375306712, 1533.3688390226985]",0.0,underweight,0,80,6.137497257441282e-05
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,3,True,True,"[1394.9502816020322, 2138.5273070467333]",0.0,underweight,0,80,6.791704799979925e-05
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,4,True,True,"[2106.795001579233, 2699.321733570856]",0.0,underweight,0,80,6.004096940159798e-05
no_semantic_openai_gpt_oss_120b,GA_FIXED,bmi_category,underweight,5,True,True,"[1572.570475551514, 419.2592358358612]",0.0,underweight,0,80,5.6292046792805195e-05
