model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,0,True,True,"[[6, 18, 81]]",0.0,too_short,0,80,0.00014599994756281376
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,1,True,True,"[[70, -65, 9]]",0.0,too_short,0,80,0.00012049998622387648
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,2,True,True,"[[77, 8, 19, -78, -94]]",0.0,too_short,0,80,0.00012108299415558577
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,3,True,True,"[[-39, -41, -65, -85, -75]]",0.0,too_short,0,80,0.00011854106560349464
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,4,True,True,"[[76, -10, 27]]",0.0,too_short,0,80,0.00011500006075948477
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,5,True,True,"[[91, -41, 79, 50, 50]]",0.0,too_short,0,80,0.0001157090300694108
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,6,True,True,"[[-43, 75, -14, -68]]",0.0,too_short,0,80,0.00011533405631780624
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,7,True,True,"[[-86, 7, 52]]",0.0,too_short,0,80,0.00011170795187354088
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,8,True,True,"[[-72, 82, -32, -14]]",0.0,too_short,0,80,0.00010812492109835148
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,9,True,True,"[[-94, -100, -24]]",0.0,too_short,0,80,0.00011566595640033484
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,10,True,True,"[[-68, -34, 31, -23, 61]]",0.0,too_short,0,80,0.00011258292943239212
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,11,True,True,"[[63, -68, -50]]",0.0,too_short,0,80,0.00010991597082465887
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,12,True,True,"[[-57, 48, 63, -23, -52, -93]]",0.0,too_short,0,80,0.00011629099026322365
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,13,True,True,"[[75, -92, -6, 15, -9, -26]]",0.0,too_short,0,80,0.0001152500044554472
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,14,True,True,"[[53, 0, 57, 56, 94, 47]]",0.0,too_short,0,80,0.00011358293704688549
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,15,True,True,"[[17, -22, -96, -55]]",0.0,too_short,0,80,0.00010795891284942627
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,16,True,True,"[[8, 85, -82, -90, 83, 11]]",0.0,too_short,0,80,0.0001062500523403287
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,17,True,True,"[[-16, 94, -5, 99, 83, 5]]",0.0,too_short,0,80,0.0001106249401345849
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,18,True,True,"[[-81, 39, -1]]",0.0,too_short,0,80,0.00010887498501688242
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,19,True,True,"[[61, 96]]",0.0,too_short,0,80,0.00010912492871284485
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,20,True,True,"[[11, -34, 34, 95, 17, 81]]",0.0,too_short,0,80,0.00011179095599800348
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,21,True,True,"[[-9, 98, -34, -90, -97]]",0.0,too_short,0,80,0.00010454107541590929
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,22,True,True,"[[-74, -29]]",0.0,too_short,0,80,0.00011333299335092306
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,23,True,True,"[[15, -99, -76]]",0.0,too_short,0,80,0.00010954204481095076
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,24,True,True,"[[83, -92]]",0.0,too_short,0,80,0.00010895798914134502
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,25,True,True,"[[24, 38, 16, -51]]",0.0,too_short,0,80,0.00011200003791600466
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,26,True,True,"[[-4, -19, 87, -66, 78]]",0.0,too_short,0,80,0.00011191691737622023
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,27,True,True,"[[-64, 47, 9, -48]]",0.0,too_short,0,80,0.0001092919846996665
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,28,True,True,"[[-30, 20, 0, 18, 54]]",0.0,too_short,0,80,0.0001099579967558384
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,too_short,29,True,True,"[[6, 30, 76, 68, -8, -43]]",0.0,too_short,0,80,0.00011591601651161909
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,sorted_with_duplicates,0,True,True,"[[-56, -56]]",0.0,sorted_with_duplicates,13,1120,0.005030541913583875
no_semantic_qwen_qwen3_32b,GA_FIXED,list_pattern,sorted_with_duplicates,1,True,True,"[[-100, -100]]",0.0,sorted_with_duplicates,2,240,0.0008853329345583916
